"Species","Pop","Lat","Long"
"AC","Central",12.1333420034994,-68.2821909453728
"AC","Klein",12.1494902623491,-68.3103953154197
"AC","LacBay",12.095633,-68.229831
"AC","North",12.1985361820923,-68.3091377075335
"AC","South",12.0662754070594,-68.2749335162296
"AP","Central",12.1479736758304,-68.2808499731029
"AP","Klein",12.1544453185565,-68.3154087494647
"AP","LacBay",12.0956925002842,-68.2290168758965
"AP","North",12.2080257844869,-68.323187056705
"AP","South",12.0448576843296,-68.263159353853
