Author,Year,Title,Species,Population,Genos,Locus_simple,allele,Hexp_report,Hexp_calc,Pr.exact,Hexp_num,Method,Num_loci,Source
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Glovers, Belize",102,182,20,0.853,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Glovers, Belize",102,192,19,0.893,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Glovers, Belize",102,207,16,0.88,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Puerto Morelos, Mexico",92,166,18,0.929,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Puerto Morelos, Mexico",92,182,20,0.866,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Puerto Morelos, Mexico",92,192,20,0.902,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Puerto Morelos, Mexico",92,207,17,0.904,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Rincon, Puerto Rico",45,166,16,0.912,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Rincon, Puerto Rico",45,182,14,0.709,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Rincon, Puerto Rico",45,192,17,0.911,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Rincon, Puerto Rico",45,207,17,0.903,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"San Cristobal, Puerto Rico",26,166,14,0.893,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"San Cristobal, Puerto Rico",26,182,11,0.754,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"San Cristobal, Puerto Rico",26,192,13,0.879,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"San Cristobal, Puerto Rico",26,207,12,0.87,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Xcalak, Mexico",48,166,16,0.918,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Xcalak, Mexico",48,182,16,0.846,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Xcalak, Mexico",48,192,18,0.9,NA,NA,NA,microsats,4,ESM6
Porto-Hannes,2015,Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin?wide spatial scale,Apal,"Xcalak, Mexico",48,207,15,0.902,NA,NA,NA,microsats,4,ESM6
Williams et al,2014,Cryptic changes in the genetic structure of a highly clonal coral population and the relationship with ecological performance,Apal,"Florida, 2006 surveys",38,166,17,0.91,NA,NA,NA,microsats,5,Main paper
Williams et al,2014,Cryptic changes in the genetic structure of a highly clonal coral population and the relationship with ecological performance,Apal,"Florida, 2006 surveys",38,181,6,0.45,NA,NA,NA,microsats,5,Main paper
Williams et al,2014,Cryptic changes in the genetic structure of a highly clonal coral population and the relationship with ecological performance,Apal,"Florida, 2006 surveys",38,182,16,0.81,NA,NA,NA,microsats,5,Main paper
Williams et al,2014,Cryptic changes in the genetic structure of a highly clonal coral population and the relationship with ecological performance,Apal,"Florida, 2006 surveys",38,192,14,0.87,NA,NA,NA,microsats,5,Main paper
Williams et al,2014,Cryptic changes in the genetic structure of a highly clonal coral population and the relationship with ecological performance,Apal,"Florida, 2006 surveys",38,207,14,0.85,NA,NA,NA,microsats,5,Main paper
Williams et al,2014,Cryptic changes in the genetic structure of a highly clonal coral population and the relationship with ecological performance,Apal,"Florida, 2010 surveys",46,166,16,0.91,NA,NA,NA,microsats,5,Main paper
Williams et al,2014,Cryptic changes in the genetic structure of a highly clonal coral population and the relationship with ecological performance,Apal,"Florida, 2010 surveys",46,181,6,0.5,NA,NA,NA,microsats,5,Main paper
Williams et al,2014,Cryptic changes in the genetic structure of a highly clonal coral population and the relationship with ecological performance,Apal,"Florida, 2010 surveys",46,182,15,0.82,NA,NA,NA,microsats,5,Main paper
Williams et al,2014,Cryptic changes in the genetic structure of a highly clonal coral population and the relationship with ecological performance,Apal,"Florida, 2010 surveys",46,192,14,0.87,NA,NA,NA,microsats,5,Main paper
Williams et al,2014,Cryptic changes in the genetic structure of a highly clonal coral population and the relationship with ecological performance,Apal,"Florida, 2010 surveys",46,207,14,0.82,NA,NA,NA,microsats,5,Main paper
